"id","title","cuisine","tags","ingredients","instructions"
1,"Butter Chicken(Murgh Makhani)","Indian","Chicken 5-ingredients Indian Non-Veg Dinner","{Chicken,"" Butter "",""Tomatoes "",""Cream "",Spices}","{""1. Marinate chicken with yogurt, ginger-garlic paste, and spices for at least 30 minutes."",""2. Grill or roast marinated chicken until cooked."",""3. In a separate pan, heat butter, add chopped tomatoes, and cook until soft."",""4. Blend the tomatoes to make a smooth puree."",""5. Add cream to the tomato puree and simmer."",""6. Add grilled chicken pieces to the sauce and cook until flavors meld."",""7. Serve hot with naan or rice.""}"
2,"PaneerTikka","Indian","Paneer Quick Indian Vegetarian 5-ingredient","{""Paneer (Indian cottage cheese) "",""Yogurt,Spices"",""Bell peppers"",Onions}","{""1. Cut paneer, bell peppers, and onions into cubes."",""2. Mix yogurt with spices and marinate paneer and veggies for 30 minutes."",""3. Skewer marinated paneer and veggies."",""4. Grill or bake until lightly charred."",""5. Serve hot with mint chutney.""}"
3,"Palak Paneer","Indian","Paneer Vegetarian Indian Healthy Dinner 5-ingredient Quick And Easy","{""Spinach "",Paneer,""Onions "",""Tomatoes "",Spices}","{""1. Blanch spinach leaves, then blend into a smooth puree."",""2. Heat oil in a pan, sauté onions until golden brown."",""3. Add tomato puree and cook until oil separates."",""4. Add spinach puree, spices, and simmer."",""5. Add cubed paneer and cook until heated through."",""6. Garnish with cream and serve with roti or rice.""}"
4,"Chole (Chickpea Curry)","Indian","Chickpeas Indian Vegetarian Dinner 5-ingredients","{Chickpeas,"" Onions"",""Tomatoes "",Spices}","{""1. Soak chickpeas overnight and boil until tender."",""2. Heat oil in a pan, sauté onions until golden."",""3. Add chopped tomatoes and cook until soft."",""4. Add spices, cooked chickpeas, and water."",""5. Simmer until flavors combine and curry thickens."",""6. Serve hot with bhatura or rice.""}"
5,"Chicken Biryani","Indian","Chicken Non-Veg Indian dinner quick Biryani","{Chicken,""Basmati rice "",Yogurt,""Spices "",Onions,""Tomatoes,""}","{""1. Marinate chicken with yogurt and spices for at least 2 hours."",""2. Parboil rice and drain."",""3. Layer marinated chicken, cooked rice, fried onions, and tomatoes in a heavy-bottomed pot."",""4. Seal the pot and cook on low heat until chicken and rice are cooked."",""5. Serve hot with raita.""}"
6," Aloo Gobi","Indian","5-ingredients Indian dinner Vegetarian  ","{Potatoes,Cauliflower,Onions,""Tomatoes "",Spices}","{""1. Heat oil in a pan, sauté onions until translucent."",""2. Add chopped tomatoes and cook until soft."",""3. Add spices, potatoes, and cauliflower florets."",""4. Cook until vegetables are tender."",""5. Garnish with cilantro and serve hot.""}"
7,"Dal Tadka","Indian","Dal Indian Meal Vegetarian 5-ingredients Healthy ","{""Lentils (usually yellow or red)"",Onions,Tomatoes,Spices}","{""1. Boil lentils until soft and mushy."",""2. In a separate pan, heat oil, add cumin seeds, and let them splutter."",""3. Sauté onions until golden, then add tomatoes and cook until mushy."",""4. Add cooked lentils, spices, and water."",""5. Simmer until flavors meld."",""6. Finish with a tempering of ghee, garlic, and red chilies."",""7. Serve hot with rice or roti.""}"
8,"Samosa","Indian","Samosa Indian Vegetarian 5-ingredients Quick And Easy","{Potatoes,""Peas "",Spices,""Flour (for dough)""}","{""1. Prepare dough with flour, salt, and water."",""2. Boil and mash potatoes, then mix with peas and spices."",""3. Roll out dough and cut into circles."",""4. Fill each circle with potato mixture, fold into a triangle, and seal edges."",""5. Deep fry until golden brown and crispy."",""6. Serve hot with chutney.""}"
9," Tandoori Chicken","Indian","Chicken Non-Veg Indian Dinner Meal ","{""Chicken "",""Yogurt "",""Spices "",""Lemon juice""}","{""1. Marinate chicken with yogurt, spices, and lemon juice for at least 2 hours."",""2. Skewer chicken pieces and grill in a tandoor or oven until cooked."",""3. Baste with butter or oil while grilling."",""4. Serve hot with mint chutney and onion rings.""}"
10,"Vegetable Biryani","Indian","Indian Biryani Vegetarian Dinner rice Quick And Easy","{""Mixed vegetables "",""Basmati rice "",Yogurt,Spices,""Onions "",Tomatoes}","{""1. Parboil rice and set aside."",""2. Sauté mixed vegetables with spices until partially cooked."",""3. Layer cooked rice and vegetables in a pot."",""4. Seal and cook on low heat until vegetables and rice are fully cooked."",""5. Garnish with fried onions and serve hot with raita.""}"
11,"Spaghetti Carbonara","Italian","Italian pasta Spaghetti Carbonara","{""Spaghetti pasta"",eggs,""pancetta or bacon"",""Parmesan cheese"",""black pepper"",""olive oil"",garlic(optional)}","{""1. Cook spaghetti until al dente."",""2. In a separate pan, fry pancetta or bacon until crispy."",""3. Beat eggs with Parmesan cheese."",""4. Toss cooked spaghetti with egg mixture and pancetta/bacon."",""5. Serve with cracked black pepper.""}"
12,"Fettuccine Alfredo","Italian","Italian Pasta Fettuccine Alfredo","{""Fettuccine pasta"",""heavy cream butter"",""Parmesan cheese salt "",pepper,""nutmeg (optional)""}","{""1. Cook fettuccine until al dente."",""2. In a saucepan, heat cream and butter until simmering."",""3. Add Parmesan cheese, salt, pepper, and nutmeg."",""4. Toss cooked fettuccine in the sauce until coated.""}"
13,"Linguine with Clam Sauce","Italian","Italian pasta Linguine Clam Sauce Quick And Easy","{""Linguine pasta "",clams,garlic,""white wine"",""olive oil"",parsley,""red pepper flakes(optional)"",salt,pepper}","{""1. Cook linguine until al dente."",""2. In a pan, sauté minced garlic in olive oil. "",""3. Add clams and white wine, cover and simmer until clams open."",""4. Toss linguine with clam mixture, adding parsley and red pepper flakes if desired.""}"
14,"Lasagna","Italian/American","Italian American pasta Lasagna","{""Lasagna noodles"",""ground beef or Italian sausage"",""marinara sauce"",""ricotta cheese"",""mozzarella cheese"",""Parmesan cheese"",egg,garlic,onion,""Italian seasoning"",salt,pepper}","{""1. Cook lasagna noodles until al dente. "",""2. Brown ground beef or sausage with garlic, onion, and Italian seasoning."",""3. Layer noodles with meat sauce, ricotta mixture (ricotta cheese, egg, salt, pepper), and mozzarella cheese."",""4. Repeat layers and bake until bubbly.""}"
15,"Penne alla Vodka","Italian/American","Italian American pasta","{""Penne pasta"",vodka,""heavy cream"",""tomato sauce"",garlic,"" onion"",""Parmesan cheese"",""olive oil"",""crushed red pepper flakes (optional)"",salt,pepper}","{""1. Cook penne until al dente. Sauté minced garlic and diced onion in olive oil."",""2. Add vodka, let it simmer and reduce. "",""3. Add tomato sauce, heavy cream, Parmesan cheese, and red pepper flakes. "",""4. Toss cooked penne in the sauce until coated.""}"
